en;nl;fr;de;sv;pl;No;es
Linked Model hierarchy of;Linked model hiërarchie van;Hiérarchie des modèles liés;Verlinkte Modellhierarchie von;Kopplad modellhierarki av;Połączona hierarchia modeli;Hierarkiet for den koblede modellen for;Modelo vinculado jerarquía de
Last Published;Gepubliceerd op;Dernière publication;Zuletzt publiziert;Senast publicerad;Ostatnio opublikowane;Sist publisert;Última publicación
Never published;Niet gepubliceerd;Jamais publié;Nie publiziert;Aldrig publicerad;Nigdy niepublikowane;Aldri publisert;Nunca publicado
This linked model doesn't have any published versions in Production and it will cause errors in the order entry or showroom.;Dit linked model heeft geen publicaties in Productie, dit zal voor errormeldingen zorgen in de order entry of showroom.;Ce modèle lié n'a pas de version publiée en Production et il provoquera des erreurs dans l'entrée des commandes ou le showroom.;Dieses verlinkte Modell hat keine publizierten Versionen in der Produktion und führt zu Fehlern in der Auftragseingabe oder im Showroom.;Den här länkade modellen har inga publicerade versioner i produktion och det kommer att uppstå fel i orderingången eller showroomet.;Ten powiązany model nie ma żadnych opublikowanych wersji w Produkcji i spowoduje błędy we wprowadzaniu zamówienia lub showroom.;Denne koblede modellen har ingen publiserte versjoner i produksjonen, og det vil føre til feil i ordreregistreringen eller showroomet.;Este modelo vinculado no tiene versiones publicadas en Producción y provocará errores en la entrada de pedidos o showroom.
This linked model does have published versions in Production, but the latest version is not in Production.;Dit linked model heeft publicaties in Productie, maar de laatste versie is in Preview.;Ce modèle lié a des versions publiées en production, mais la dernière version n'est pas en production.;Dieses verlinkte Modell hat zwar publizierte Versionen in der Produktion, aber die neueste Version ist nicht in der Produktion.;Den här länkade modellen har publicerade versioner i produktionen, men den senaste versionen finns inte i produktionen.;Ten połączony model ma opublikowane wersje w Produkcja, ale najnowsza wersja nie znajduje się w Produkcji.;Denne koblede modellen har publiserte versjoner i Produksjon, men den nyeste versjonen er ikke i Produksjon.;Este modelo vinculado tiene versiones publicadas en Producción, pero la última versión no está en Producción.
This linked model does have published versions in Production and the latest version is in Production.;Dit linked model heeft publicaties in Productie en de laatste is ook in Productie.;Ce modèle lié a des versions publiées en production et la dernière version est en production.;Dieses verlinkte Modell hat bereits publizierte Versionen in der Produktion und die neueste Version ist in der Produktion.;Den här länkade modellen har publicerade versioner i produktionen och den senaste versionen finns i produktionen.;Ten połączony model ma opublikowane wersje w Produkcji, a najnowsza wersja jest w Produkcji.;Denne koblede modellen har publiserte versjoner i produksjon, og den nyeste versjonen er i produksjon.;Este modelo vinculado tiene versiones publicadas en producción y la última versión está en producción.
Combine into quotation group;Combineer in quotation groep;;;;;Kombinere i tilbudsgruppe;Combinar en un grupo de ofertas
This combines all instances of this linked model into the parent quotation group.;Dit combineert alle instanties van dit linked model in the parent quotation group.;;;;;;Esto combina todas las instancias de este modelo vinculado en el grupo de citas padre.
The multiplier can not be used in combination with the combine into quotation group option.;De multiplier kan niet i.c.m. de combineer in quotation group optie.;;;;;Multiplikatoren kan ikke brukes kombinert med et tilbud med en alternativ gruppe.;El multiplicador no puede utilizarse en combinación con la opción combinar en grupo de cotización.
The combine into quotation group option can not be used in combination with the multiplier option.;De combineer in quotation groep optie kan niet i.c.m. de multiplier gebruikt worden.;;;;;Škombinere dette inn i tilbudsgruppe kan ikke brukes i kombinasjon med multiplikatoralternativet.;La opción combinar en grupo de cotización no puede utilizarse en combinación con la opción multiplicador.
All of the steps are hidden in the;Alle stappen zijn verborgen in de;;;;;Alle trinnene er skjult i;Todos los pasos están ocultos en el
the;de;;;;;omr?t;el
Click or drag a 3D model file to this area to upload;Klik of sleep hier een 3D model voor het uploaden;;;;;Klikk eller dra en 3D-modellfil til dette omr?t for ?aste den opp.;Haga clic o arrastre un archivo de modelo 3D a esta área para cargarlo
Maximum file size:;Maximale bestandsgrootte:;;;;;Maksimal filstørrelse:;Tamaño máximo del archivo:
Supported file extensions:;Ondersteunende file extensies:;;;;;Filutvidelser som støttes:;Extensiones de archivo compatibles:
Manage table preferences;Beheer tabeleigenschappen;;;;;Administrer tabellinnstillinger;Gestionar las preferencias de las mesas
Enable overview page;Overzichtspagina inschakelen;;;;;;Activar la página de resumen
Adds an overview page which users will see before going to the checkout page.;Voegt een overzichtspagina toe die gebruikers te zien krijgen voordat ze naar de afrekenpagina gaan.;;;;;;Añade una página de resumen que los usuarios verán antes de ir a la página de pago.
Input field;Invoerveld;;;;;;Campo de entrada
Add or remove columns for the current table. To change the column order, drag and drop a field. Column names can also be customized.;Voeg kolommen toe of verwijder ze voor de huidige tabel. Sleep een veld om de kolomvolgorde te wijzigen. Kolomnamen kunnen ook worden aangepast.;;;;;;Añada o elimine columnas de la tabla actual. Para cambiar el orden de las columnas, arrastre y suelte un campo. También se pueden personalizar los nombres de las columnas.
Column options;Kolomopties;;;;;;Opciones de columna
Enter the name of this preference preset. This name will be used when using multiple preference presets on a single table.;Voer de naam van deze voorkeursvoorinstelling in. Deze naam wordt gebruikt wanneer u meerdere voorkeursvoorinstellingen op één tabel gebruikt.;;;;;;Introduzca el nombre de este ajuste preestablecido de preferencias. Este nombre se utilizará cuando se usen varios preajustes de preferencias en una misma tabla.
Preference name;Naam van voorkeur;;;;;;Nombre de preferencia
Learn more about;Leer meer over;;;;;;Más información
Learn more about the;Leer meer over de;;;;;;Más información sobre el
Configuration model circular dependencies;Configuratie model cirkel redeneringen;;;;;;Dependencias circulares del modelo de configuración
Visualize;Visualiseren;;;;;;Visualice
Check Dependencies;Check afhankelijkheden;;;;;;Comprobar dependencias
Enter a name;Voer een naam in;;;;;;Introduzca un nombre
Enter a code;Voer een code in;;;;;;Introduzca un código
Reference used by third-party integrations;Referentie gebruikt door derde partij integraties;;;;;;Referencia utilizada por integraciones de terceros
Descriptions;Beschrijvingen;;;;;;Descripciones
HTML Formatting;HTML opmaak;;;;;;Formato HTML
External name;Externe naam;;;;;;Nombre externo
Extended descriptions;Uitgebreide beschrijvingen;;;;;;Descripciones ampliadas
Explanation;Verklaring;;;;;;Explicación
Text for exporting;Tekst voor exporteren;;;;;;Texto para exportar
Upload an image of yourself, or change the e-mail adres which is used to login.;Upload een afbeelding van jezelf, of verander het e-mail adres dat wordt gebruikt om in te loggen.;;;;;;Cargue una imagen suya o cambie la dirección de correo electrónico utilizada para acceder a su cuenta.
Change the password that is used to login into your account.;Verander het wachtwoord dat wordt gebruikt om in te loggen op je account.;;;;;;Cambia la contraseña que se utiliza para acceder a tu cuenta.
Change;Verander;;;;;;Cambiar
Add an extra layer of security to your account.;Voeg een extra laag beveiliging toe aan je account.;;;;;;Añada una capa adicional de seguridad a su cuenta.
Enable two factor authentication;Schakel tweestapsverificatie in;;;;;;Activar la autenticación de dos factores
Disable two factor authentication;Schakel tweestapsverificatie uit;;;;;;Desactivar la autenticación de dos factores
Disable SSO;Schakel SSO uit;;;;;;Desactivar SSO
Enable SSO;Schakel SSO in;;;;;;Activar SSO
The following permissions have been granted to your account:;De volgende rechten zijn toegekend aan je account:;;;;;;Se han concedido los siguientes permisos a su cuenta:
Enter a reference;Voer een referentie in;;;;;;Introduzca una referencia
Past logins;Vorige logins;;;;;;Conexiones anteriores
You have logged into your account from the following devices:;Je hebt ingelogd op je account vanaf de volgende apparaten:;;;;;;Has iniciado sesión en tu cuenta desde los siguientes dispositivos:
Timestamp;Tijd;;;;;;Marca de tiempo
Delete account;Verwijder account;;;;;;Eliminar cuenta
This will delete your user account. Note that once your account is deleted, it cannot be restored.;Dit verwijdert je gebruikersaccount. Let op: zodra je account is verwijderd, kan het niet worden hersteld.;;;;;;Esto eliminará su cuenta de usuario. Tenga en cuenta que una vez eliminada su cuenta, no podrá restaurarse.
Delete your account;Verwijder je account;;;;;;Eliminar su cuenta
Enter tags;Voer tags in;;;;;;Introducir etiquetas
This option disallows a user to apply a discount on a quotation line for this feature.;Deze optie zorgt er voor dat een gebruiker geen korting toe kan passen op een offerte regel voor deze feature.;;;;;;Esta opción impide que un usuario aplique un descuento en una línea de presupuesto para esta función.
Warning;Waarschuwing;;;;;;Advertencia
Circular dependencies could take a minute to find, do you want continue?;Cirkel redeneringen vinden kan een minuut duren, wilt u doorgaan?;;;;;;Las dependencias circulares podrían tardar un minuto en encontrarse, ¿desea continuar?
Continue;Doorgaan;;;;;;Continuar
Circular Dependency result;Cirkel redenering resultaten;;;;;;Resultado de la relación circular
No Circular Dependencies found in the configuration model.;Geen cirkel redeneringen kunnen worden gevonden in het configuratie model.;;;;;;No se han encontrado dependencias circulares en el modelo de configuración.
Find circular dependencies error;Vind cirkel redeneringen foutmelding;;;;;;Error de búsqueda de dependencias circulares
Something went wrong while trying to find circular dependencies. Please try again later or contact support if it keeps occuring.;Er ging iets mis tijdens het vinden van cirkelredeneringen. Probeer het later opnieuw of contacteer support als het probleem zich blijft voordoen.;;;;;;Algo ha ido mal al intentar encontrar dependencias circulares. Vuelva a intentarlo más tarde o póngase en contacto con el servicio de asistencia si sigue ocurriendo.
Mobile phone number;Mobiel telefoonnummer;Numéro de téléphone mobile;Nummer des Mobiltelefons;Mobiltelefonnummer;Numer telefonu komórkowego;;Número de teléfono móvil
Street name;Straatnaam;Nom de rue;Straßenname;Gatunamn;Nazwa ulicy;;Nombre de la calle
This configuration is not possible. Your last change could not be saved.;Deze configuratie is niet mogelijk. Je laatste wijziging kon niet worden opgeslagen.;Cette configuration n'est pas possible. Votre dernière modification n'a pas pu être enregistrée.;Diese Konfiguration ist nicht möglich. Ihre letzte Änderung konnte nicht gespeichert werden.;;;;Esta configuración no es posible. No se ha podido guardar el último cambio.
The issue could be caused by a change in the parent configuration.;De issue zou veroorzaakt kunnen zijn door een wijziging in een parent configuratie.;Le problème peut être causé par un changement dans la configuration parente.;Das Problem könnte durch eine Änderung in der übergeordneten Konfiguration verursacht werden.;;;;El problema puede deberse a un cambio en la configuración principal.
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
